Customer_ID,Age,Gender,Region,Income_Level,Total_Spend,Purchase_Frequency,Last_Purchase_Days,Retained,Segment
38,54,Female,East,High,14498,17,75,1,High Value
39,24,Male,East,Low,13761,16,359,1,Medium Value
40,38,Female,East,High,3593,12,137,1,Low Value
41,26,Male,South,Medium,12222,8,90,0,Low Value
42,56,Male,East,High,19780,20,325,1,High Value
43,35,Male,East,Medium,12145,3,61,1,Low Value
44,21,Female,West,Medium,15583,16,138,0,High Value
45,42,Female,North,High,1488,13,50,1,Low Value
46,31,Male,South,Low,6946,23,259,1,Low Value
47,26,Male,South,Medium,16835,19,107,1,High Value
48,43,Male,South,Low,16633,8,113,0,Low Value
49,19,Male,East,Medium,2182,22,350,1,Low Value
50,37,Female,East,High,6126,5,254,1,Low Value
51,45,Female,East,High,7924,20,118,1,Medium Value
52,64,Male,West,Medium,13357,8,198,1,Low Value
53,24,Male,North,High,12655,24,337,1,Medium Value
54,61,Female,East,Medium,17817,12,51,1,Medium Value
55,25,Female,North,High,11925,1,245,1,Low Value
56,64,Male,West,Low,2480,21,35,0,Low Value
57,52,Male,South,High,16022,20,302,1,High Value
58,31,Male,East,Low,19940,6,69,0,Low Value
59,34,Female,North,High,9484,22,349,0,Medium Value
60,53,Female,North,Low,17675,18,320,0,High Value
61,57,Female,East,High,16383,8,49,1,Low Value
62,21,Male,South,Low,5890,7,74,1,Low Value
63,19,Male,South,Medium,19139,1,192,1,Low Value
64,23,Female,South,Medium,2107,21,261,1,Low Value
65,59,Female,West,Low,7073,16,356,1,Medium Value
66,21,Male,North,High,17868,12,70,0,Medium Value
67,46,Female,North,Low,6276,6,90,0,Low Value
68,35,Female,North,High,4176,20,260,1,Low Value
69,43,Male,West,Medium,3880,2,126,1,Low Value
70,61,Female,North,High,9211,14,231,0,Medium Value
71,51,Male,West,Medium,9282,4,295,1,Low Value
72,27,Male,South,High,17934,1,129,1,Low Value
73,53,Male,East,High,14497,23,280,0,High Value
74,31,Male,North,High,6842,18,313,1,Low Value
75,48,Male,North,Low,17843,13,100,1,Medium Value
76,32,Male,South,Low,6559,2,326,1,Low Value
77,25,Male,East,Medium,9384,9,297,0,Medium Value
78,31,Female,West,Medium,6155,21,182,1,Low Value
79,40,Male,East,Low,12591,2,174,1,Low Value
80,57,Male,South,Medium,19830,9,316,1,Medium Value
81,38,Female,South,Low,15751,1,364,1,Low Value
82,33,Female,East,High,1026,11,188,1,Low Value
83,62,Female,West,Medium,3724,3,57,0,Low Value
84,35,Male,West,Medium,15569,20,31,1,High Value
85,64,Female,North,Low,12036,23,84,0,Medium Value
86,41,Male,West,Medium,14047,4,152,1,Low Value
87,43,Male,East,Medium,18759,18,36,1,High Value
88,42,Male,South,High,2263,23,213,1,Low Value
89,62,Male,North,Medium,9212,6,364,1,Low Value
90,58,Female,North,High,6297,3,106,1,Low Value
91,46,Female,South,Low,9708,22,342,1,Medium Value
92,32,Male,West,Medium,5609,11,220,1,Low Value
93,62,Male,South,High,17000,15,163,1,Medium Value
94,18,Male,West,Low,2933,22,220,1,Low Value
95,42,Female,South,Medium,17467,5,270,0,Low Value
96,24,Male,East,Low,4667,20,120,0,Low Value
97,26,Male,West,Medium,18273,10,336,1,Medium Value
98,41,Female,East,Low,8857,12,182,1,Medium Value
99,18,Female,North,Low,6654,15,106,1,Low Value
100,61,Male,South,High,9420,17,217,1,Medium Value
101,25,Female,North,Low,18927,10,205,1,Medium Value
102,41,Female,North,Medium,17662,6,70,0,Low Value
103,28,Male,North,Medium,713,18,44,1,Low Value
104,34,Female,North,High,4262,13,329,1,Low Value
105,25,Male,South,Medium,13899,3,301,0,Low Value
106,52,Female,North,Medium,10268,24,228,1,Medium Value
107,52,Male,South,Medium,11140,10,184,0,Medium Value
108,50,Male,South,Low,7231,14,107,1,Medium Value
109,22,Male,East,Low,6291,6,84,1,Low Value
110,59,Female,West,Medium,16322,3,338,1,Low Value
111,56,Male,West,High,9283,16,250,1,Medium Value
112,58,Female,South,Low,14121,7,363,0,Low Value
113,45,Male,East,High,16519,20,21,1,High Value
114,24,Male,South,Medium,3220,14,196,0,Low Value
115,26,Female,South,Medium,9405,9,178,1,Medium Value
116,25,Male,South,Low,9627,15,7,1,Medium Value
117,29,Male,East,Medium,16885,21,70,1,High Value
118,51,Female,West,Low,6868,3,127,1,Low Value
119,50,Male,East,Medium,14556,2,160,0,Low Value
120,40,Male,North,Medium,12736,2,248,1,Low Value
121,41,Male,East,Low,18833,3,203,1,Low Value
122,54,Male,East,Low,14951,18,148,1,High Value
123,52,Female,East,Low,17801,14,143,1,Medium Value
124,61,Female,East,Medium,10933,20,199,1,Medium Value
125,57,Male,West,Medium,16025,18,154,1,High Value
126,39,Female,North,High,589,10,142,0,Low Value
127,44,Male,West,Low,18593,2,313,1,Low Value
128,52,Female,West,Medium,10861,22,165,1,Medium Value
129,18,Male,East,Medium,16869,1,314,1,Low Value
130,52,Male,South,Low,3541,4,21,1,Low Value
131,54,Male,South,High,605,14,82,0,Low Value
132,64,Male,West,Low,9578,1,69,1,Low Value
133,31,Male,West,High,18779,14,131,1,Medium Value
134,20,Male,East,Medium,6590,16,87,1,Low Value
135,18,Female,West,High,6582,22,218,1,Low Value
136,22,Male,East,Medium,17518,14,305,1,Medium Value
137,43,Female,South,Low,2425,20,345,0,Low Value
138,31,Male,South,Low,18940,3,341,0,Low Value
139,56,Female,North,Low,7417,3,161,0,Low Value
140,44,Female,South,High,1052,9,178,1,Low Value
141,26,Female,West,Medium,4411,6,117,1,Low Value
142,32,Male,South,Low,3889,13,196,1,Low Value
143,32,Male,East,Low,14129,21,327,1,High Value
144,43,Female,South,Medium,2930,2,86,0,Low Value
145,59,Male,North,Low,958,8,289,1,Low Value
146,30,Female,South,Medium,13895,21,81,0,Medium Value
147,49,Male,East,Medium,707,2,152,1,Low Value
148,56,Female,East,Medium,1399,4,61,1,Low Value
149,49,Female,West,Medium,12153,15,61,1,Medium Value
150,21,Male,South,Medium,16905,4,354,1,Low Value
151,47,Female,East,High,9101,13,28,1,Medium Value
152,54,Male,North,Low,1394,12,43,0,Low Value
153,40,Female,West,High,1014,13,169,1,Low Value
154,56,Female,North,Low,4609,14,86,1,Low Value
155,62,Male,South,High,13758,20,177,1,Medium Value
156,32,Male,South,Medium,15813,18,17,0,High Value
157,60,Male,South,Low,15849,6,98,1,Low Value
158,46,Female,West,Low,7679,11,198,0,Medium Value
159,53,Male,East,High,10826,2,98,1,Low Value
160,30,Female,West,High,12287,23,65,0,Medium Value
161,49,Female,North,Low,2060,19,330,0,Low Value
162,24,Male,West,High,14112,19,341,1,High Value
163,39,Male,North,High,18150,5,5,1,Low Value
164,45,Female,West,High,5280,19,2,0,Low Value
165,19,Female,East,Medium,18811,2,22,1,Low Value
166,59,Male,North,Medium,12394,10,112,0,Medium Value
167,62,Male,South,High,2856,2,57,1,Low Value
168,23,Male,South,High,5290,11,66,0,Low Value
169,45,Male,West,Medium,17190,18,330,1,High Value
170,45,Male,South,Medium,10681,24,98,0,Medium Value
171,61,Female,North,Low,7557,15,144,1,Medium Value
172,61,Female,South,Low,16582,9,125,1,Medium Value
173,37,Female,East,Medium,1161,23,167,1,Low Value
174,47,Female,East,High,5144,19,86,1,Low Value
175,28,Male,West,High,16211,9,76,1,Medium Value
176,45,Male,North,High,3420,3,344,1,Low Value
177,42,Male,East,High,16502,21,294,0,High Value
178,56,Female,East,Low,14525,9,59,1,Medium Value
179,50,Female,North,Medium,9446,14,138,1,Medium Value
180,18,Male,South,High,13232,19,99,1,Medium Value
181,44,Male,South,Low,6736,7,192,1,Low Value
182,30,Female,West,High,16809,16,243,1,High Value
183,58,Female,South,Medium,14018,16,319,0,High Value
184,20,Male,North,Low,852,1,49,0,Low Value
185,56,Male,East,Medium,7505,4,32,1,Low Value
186,23,Female,South,Medium,14536,4,277,1,Low Value
187,25,Male,West,Low,17042,7,20,0,Low Value
188,44,Male,South,Low,1456,8,154,1,Low Value
189,26,Male,North,Low,2571,17,68,1,Low Value
190,54,Female,West,Low,9095,5,214,1,Low Value
191,50,Female,South,Low,15640,7,143,1,Low Value
192,59,Female,West,Low,13303,20,232,1,Medium Value
193,61,Female,North,Low,3953,20,213,1,Low Value
194,41,Female,East,High,7175,4,79,1,Low Value
195,32,Female,North,Medium,1455,6,214,0,Low Value
196,49,Female,North,Low,6795,7,116,1,Low Value
197,49,Male,North,High,16421,18,92,0,High Value
198,41,Male,North,High,18596,5,270,0,Low Value
199,58,Male,East,High,15782,20,168,1,High Value
200,29,Male,East,Medium,5203,3,58,1,Low Value
201,56,Male,West,Low,7063,7,284,1,Low Value
202,19,Male,South,High,12503,22,26,1,Medium Value
203,20,Male,East,Medium,11317,14,66,0,Medium Value
204,54,Female,East,Medium,11671,7,248,1,Low Value
205,34,Female,South,Medium,13082,5,254,0,Low Value
206,19,Male,East,High,12701,22,44,1,Medium Value
207,19,Male,North,Low,18278,5,97,1,Low Value
208,45,Female,North,High,12973,23,42,1,Medium Value
209,40,Male,South,High,9961,2,227,1,Low Value
210,54,Male,West,Low,16096,21,262,1,High Value
211,49,Female,West,Low,1029,22,167,1,Low Value
212,50,Male,South,Low,19842,6,279,1,Low Value
213,18,Female,South,Medium,13265,15,89,1,Medium Value
214,36,Male,North,Low,14410,21,178,0,High Value
215,19,Female,West,High,12061,10,197,1,Medium Value
216,61,Female,East,Low,9631,23,307,0,Medium Value
217,43,Female,North,High,1025,24,267,0,Low Value
218,49,Male,South,Medium,16885,7,268,0,Low Value
219,23,Female,West,High,874,5,74,1,Low Value
220,49,Male,East,High,12697,1,8,0,Low Value
221,21,Male,East,Low,5148,13,297,1,Low Value
222,28,Male,North,Low,2865,21,164,1,Low Value
223,34,Male,West,High,18409,18,85,1,High Value
224,55,Female,West,Low,2146,13,72,0,Low Value
225,41,Female,South,Medium,513,21,55,1,Low Value
226,22,Male,West,Medium,5099,21,47,0,Low Value
227,51,Male,West,Low,2778,18,238,1,Low Value
228,23,Female,North,Medium,14796,5,104,0,Low Value
229,39,Male,West,Low,3655,13,210,0,Low Value
230,28,Female,East,High,8821,4,42,1,Low Value
231,33,Male,North,High,4314,17,316,0,Low Value
232,50,Male,North,Medium,13625,3,268,1,Low Value
233,26,Female,South,Low,3716,17,263,1,Low Value
234,23,Male,West,Low,2613,11,336,1,Low Value
235,33,Female,South,Medium,10738,21,259,1,Medium Value
236,46,Male,East,High,14260,20,283,1,High Value
237,20,Male,North,Medium,13088,23,114,1,Medium Value
238,37,Male,North,High,3874,21,363,1,Low Value
239,53,Female,North,Low,6930,4,40,0,Low Value
240,36,Male,East,High,19965,2,220,0,Low Value
241,43,Male,East,Medium,12470,20,129,0,Medium Value
242,20,Male,South,Low,1129,16,8,0,Low Value
243,36,Male,South,Medium,17153,18,101,1,High Value
244,37,Female,South,Medium,11331,8,176,1,Low Value
245,49,Female,West,High,6224,3,107,1,Low Value
246,24,Male,North,Medium,11583,9,101,0,Medium Value
247,58,Female,North,High,13649,20,260,1,Medium Value
248,50,Male,South,Low,9972,6,246,1,Low Value
249,57,Male,North,High,6776,10,275,1,Low Value
250,56,Male,South,Low,16135,21,32,1,High Value
251,35,Female,West,High,6395,10,137,1,Low Value
252,57,Female,West,Medium,14494,13,12,1,Medium Value
253,18,Female,East,High,11052,17,302,1,Medium Value
254,28,Female,West,High,17459,9,16,1,Medium Value
255,45,Female,South,Low,6599,17,129,1,Low Value
256,42,Female,West,Medium,9999,24,63,1,Medium Value
257,40,Female,East,High,3678,9,109,0,Low Value
258,48,Female,North,Medium,19618,9,21,1,Medium Value
259,47,Female,South,High,6616,1,158,1,Low Value
260,59,Male,North,High,16063,2,269,0,Low Value
261,52,Female,East,Medium,4068,16,162,1,Low Value
262,24,Female,East,High,10347,1,260,1,Low Value
263,33,Female,East,Medium,14635,10,102,1,Medium Value
264,43,Female,North,High,19087,18,223,1,High Value
265,19,Female,North,Low,18274,8,59,1,Low Value
266,18,Female,North,Medium,2242,21,247,1,Low Value
267,29,Female,North,High,18809,11,128,0,Medium Value
268,22,Female,East,High,1119,23,283,1,Low Value
269,54,Female,East,Low,18158,2,325,1,Low Value
270,49,Female,South,Medium,17840,8,25,1,Low Value
271,26,Female,South,High,2439,22,131,1,Low Value
272,58,Male,North,Low,16501,8,353,1,Low Value
273,52,Male,West,High,1468,17,196,1,Low Value
274,36,Female,West,Medium,15346,15,281,0,Medium Value
275,33,Female,East,High,781,17,154,1,Low Value
276,20,Male,East,High,15860,23,133,1,High Value
277,37,Female,East,High,6762,24,227,1,Low Value
278,41,Male,South,High,1558,13,189,1,Low Value
279,50,Male,South,Low,11224,19,265,1,Medium Value
280,41,Male,East,Low,5678,5,134,0,Low Value
281,28,Male,East,Medium,7480,12,211,1,Medium Value
282,25,Male,East,Low,9700,1,60,1,Low Value
283,53,Female,West,Low,1729,23,364,0,Low Value
284,55,Male,South,Medium,8967,5,364,1,Low Value
285,57,Female,West,Low,19624,8,213,0,Low Value
286,37,Female,West,Low,2789,13,216,1,Low Value
287,52,Male,East,Medium,1739,8,226,1,Low Value
288,42,Male,East,Medium,5870,23,131,1,Low Value
289,52,Female,North,Medium,16670,11,76,1,Medium Value
290,42,Male,North,High,625,1,286,1,Low Value
291,46,Male,West,High,13004,13,277,1,Medium Value
292,35,Female,South,Medium,15898,19,156,1,High Value
293,63,Female,East,Medium,7138,24,248,1,Medium Value
294,35,Male,East,Medium,7070,3,218,1,Low Value
295,19,Female,West,High,3749,24,190,0,Low Value
296,52,Male,North,High,9610,17,163,0,Medium Value
297,33,Male,South,Low,8095,5,180,1,Low Value
298,58,Male,North,Low,14105,20,34,1,High Value
299,53,Female,North,Medium,12615,21,41,0,Medium Value
300,50,Female,North,High,6794,8,307,0,Low Value
301,21,Female,North,High,6257,14,338,0,Low Value
302,50,Female,East,High,13095,4,314,1,Low Value
303,31,Female,East,Medium,2469,11,75,1,Low Value
304,38,Male,North,Low,11485,20,279,1,Medium Value
305,37,Male,South,Medium,17775,15,176,1,Medium Value
306,25,Male,West,Low,4970,19,150,0,Low Value
307,24,Male,South,Low,10725,7,273,1,Low Value
308,20,Female,South,Medium,10056,19,325,1,Medium Value
309,34,Male,South,Low,9706,19,108,0,Medium Value
310,50,Female,North,Low,10491,11,139,1,Medium Value
311,29,Male,East,High,8019,5,350,1,Low Value
312,39,Female,South,Low,14169,5,271,1,Low Value
313,39,Female,North,Medium,5112,22,347,0,Low Value
314,63,Male,South,Medium,12873,8,289,1,Low Value
315,47,Male,South,Low,18082,10,212,0,Medium Value
316,55,Male,North,High,16052,6,272,0,Low Value
317,55,Male,East,High,15146,15,66,1,Medium Value
318,62,Female,East,Low,5738,16,248,1,Low Value
319,25,Male,West,Low,16077,17,156,0,High Value
320,44,Male,North,Medium,16004,8,47,1,Low Value
321,44,Female,West,Low,4219,8,201,0,Low Value
322,51,Male,West,High,802,9,148,0,Low Value
323,38,Male,West,Low,12644,2,124,1,Low Value
324,47,Male,East,Medium,17870,15,1,1,Medium Value
325,50,Male,North,Medium,10555,18,247,0,Medium Value
326,45,Male,West,Medium,4940,3,343,1,Low Value
327,64,Female,North,Medium,3572,17,128,1,Low Value
328,50,Male,North,Medium,14098,4,191,1,Low Value
329,22,Male,East,Low,14787,4,67,1,Low Value
330,36,Male,West,Low,14465,14,4,0,Medium Value
331,21,Male,West,Low,10019,9,303,0,Medium Value
332,52,Male,North,Low,13880,9,294,1,Medium Value
333,34,Female,South,Medium,12365,23,143,1,Medium Value
334,61,Male,East,High,8625,18,191,1,Medium Value
335,45,Female,East,Low,3791,10,21,0,Low Value
336,47,Female,East,High,4533,21,227,1,Low Value
337,46,Male,East,Low,5605,4,313,1,Low Value
338,63,Male,West,Low,17587,12,117,1,Medium Value
339,23,Male,West,High,8633,8,302,1,Low Value
340,52,Male,South,Medium,17458,2,142,0,Low Value
341,58,Female,East,Low,6204,22,39,1,Low Value
342,54,Male,East,Low,8348,13,355,1,Medium Value
343,41,Male,North,Low,13475,21,252,1,Medium Value
344,46,Male,West,High,7424,16,333,0,Medium Value
345,63,Male,East,Medium,988,2,207,1,Low Value
346,48,Male,South,High,7614,11,210,1,Medium Value
347,52,Male,South,High,16240,10,115,1,Medium Value
348,50,Female,West,Medium,3673,15,225,0,Low Value
349,38,Female,South,High,2167,17,134,1,Low Value
350,49,Male,South,Medium,4614,8,251,1,Low Value
351,40,Male,West,Low,4053,18,219,1,Low Value
352,50,Male,East,Medium,8261,23,91,0,Medium Value
353,20,Female,East,Low,1500,9,354,1,Low Value
354,35,Male,South,High,16138,8,46,0,Low Value
355,42,Female,South,High,18272,14,38,1,Medium Value
356,59,Male,East,Low,5950,18,142,1,Low Value
357,48,Male,West,High,4212,22,100,1,Low Value
358,20,Male,South,Medium,1867,20,328,1,Low Value
359,57,Male,North,Low,8689,20,190,1,Medium Value
360,63,Female,West,High,9513,21,35,0,Medium Value
361,41,Female,South,Low,17338,12,147,0,Medium Value
362,49,Male,South,Medium,19656,19,30,1,High Value
363,64,Male,North,Medium,4226,14,334,0,Low Value
364,39,Female,North,High,5306,17,84,0,Low Value
365,40,Female,East,Medium,2690,24,281,1,Low Value
366,19,Female,West,Low,9608,21,344,1,Medium Value
367,44,Female,West,Medium,12678,3,270,0,Low Value
368,59,Male,East,Low,3375,23,154,1,Low Value
369,19,Female,West,Low,6092,7,102,0,Low Value
370,43,Male,West,Medium,18324,17,215,0,High Value
371,34,Female,West,High,13092,12,150,1,Medium Value
372,57,Female,West,Medium,9427,9,83,1,Medium Value
373,50,Female,West,Low,14937,15,110,1,Medium Value
374,26,Female,North,Low,12030,18,275,1,Medium Value
375,60,Female,West,Medium,7510,21,201,1,Medium Value
376,56,Male,North,High,11707,13,284,1,Medium Value
377,46,Male,West,High,3489,21,173,1,Low Value
378,59,Female,East,Low,12540,8,327,0,Low Value
379,43,Female,South,Low,9718,14,206,0,Medium Value
380,52,Male,North,High,6971,8,63,1,Low Value
381,42,Female,West,Medium,3363,14,73,1,Low Value
382,41,Female,East,Low,11193,7,251,1,Low Value
383,30,Male,South,Low,1677,23,124,1,Low Value
384,24,Female,North,High,5260,12,121,0,Low Value
385,53,Female,South,Medium,511,11,275,0,Low Value
386,62,Male,East,High,16853,22,120,1,High Value
387,37,Male,North,Medium,12056,22,317,0,Medium Value
388,18,Male,South,Medium,12063,11,164,1,Medium Value
389,25,Female,West,Medium,14551,22,286,0,High Value
390,63,Male,North,Low,11522,13,265,1,Medium Value
391,33,Male,South,High,8734,18,320,0,Medium Value
392,31,Male,East,High,16673,2,161,1,Low Value
393,29,Male,East,Medium,13678,21,308,0,Medium Value
394,40,Male,North,Low,7070,15,89,0,Medium Value
395,32,Male,South,Low,906,20,142,1,Low Value
396,45,Female,North,High,9706,18,203,1,Medium Value
397,51,Female,North,Low,4931,15,309,0,Low Value
398,19,Male,South,Low,7042,19,227,1,Medium Value
399,49,Male,South,Medium,9406,23,334,1,Medium Value
400,40,Male,West,Low,4646,24,222,1,Low Value
401,39,Female,South,Medium,12546,12,41,1,Medium Value
402,42,Female,East,High,13111,13,196,0,Medium Value
403,39,Female,North,Low,13576,22,68,1,Medium Value
404,39,Female,North,High,17024,11,264,1,Medium Value
405,59,Female,East,High,5382,5,2,1,Low Value
406,23,Female,South,Low,14613,1,361,1,Low Value
407,32,Female,East,Low,14145,24,125,1,High Value
408,60,Female,East,High,6512,3,110,1,Low Value
409,54,Female,West,Low,17847,22,86,1,High Value
410,50,Male,East,Medium,7651,19,120,1,Medium Value
411,25,Male,North,Medium,4110,23,127,0,Low Value
412,61,Male,East,Low,10384,7,255,1,Low Value
413,61,Male,North,High,7394,12,183,1,Medium Value
414,22,Female,North,Low,13967,15,16,1,Medium Value
415,56,Female,North,Low,16989,5,62,1,Low Value
416,21,Male,South,High,10373,15,158,1,Medium Value
417,23,Female,West,High,12789,8,268,1,Low Value
418,62,Male,North,Medium,12708,10,35,0,Medium Value
419,49,Female,North,High,11328,16,267,1,Medium Value
420,47,Male,South,Medium,2637,8,64,1,Low Value
421,64,Female,North,High,1786,1,50,0,Low Value
422,52,Female,East,Low,16210,12,255,1,Medium Value
423,57,Male,East,Medium,11871,5,149,1,Low Value
424,33,Female,West,Medium,16445,3,325,1,Low Value
425,30,Male,North,Medium,7552,1,304,1,Low Value
426,59,Male,South,Low,4154,4,276,0,Low Value
427,47,Male,East,Low,19243,8,357,1,Low Value
428,36,Male,South,Low,16100,3,172,0,Low Value
429,34,Female,South,Low,9136,10,201,1,Medium Value
430,36,Female,East,Low,6941,2,324,1,Low Value
431,45,Female,South,Medium,10167,11,35,1,Medium Value
432,43,Male,East,Low,12649,10,216,1,Medium Value
433,54,Female,South,Medium,2298,21,65,1,Low Value
434,43,Male,East,Low,10100,14,8,0,Medium Value
435,40,Female,North,High,5995,7,301,1,Low Value
436,26,Female,West,Medium,10400,2,343,1,Low Value
437,29,Female,East,High,14173,9,332,1,Medium Value
438,18,Male,East,Medium,11630,16,76,1,Medium Value
439,18,Female,West,High,15722,13,174,1,Medium Value
440,64,Female,East,Low,1800,9,47,0,Low Value
441,51,Male,East,Low,9935,20,15,1,Medium Value
442,49,Female,South,Low,19981,4,361,0,Low Value
443,42,Male,West,Medium,5116,22,147,1,Low Value
444,57,Female,North,High,16893,10,26,0,Medium Value
445,62,Male,East,Low,11117,22,308,0,Medium Value
446,18,Male,West,High,6252,12,93,1,Low Value
447,33,Female,South,High,10352,17,232,1,Medium Value
448,56,Male,North,Low,6795,14,21,0,Low Value
449,22,Male,West,Low,17956,14,307,1,Medium Value
450,39,Male,North,High,3725,2,38,0,Low Value
451,46,Male,North,Low,1816,21,276,1,Low Value
452,20,Male,North,Low,12837,20,157,1,Medium Value
453,29,Male,East,Low,7307,11,179,0,Medium Value
454,43,Female,East,Medium,4183,16,132,0,Low Value
455,33,Male,South,High,7727,19,311,1,Medium Value
456,54,Male,South,High,3773,23,348,0,Low Value
457,39,Female,West,Medium,645,6,28,1,Low Value
458,46,Female,South,High,5510,24,260,1,Low Value
459,31,Female,North,Low,16535,19,76,1,High Value
460,45,Female,North,High,3540,5,67,1,Low Value
461,22,Female,East,Low,10154,4,342,0,Low Value
462,64,Female,North,Medium,17366,15,194,1,Medium Value
463,47,Female,West,Low,18133,4,162,1,Low Value
464,63,Male,North,High,17514,20,347,1,High Value
465,22,Male,North,High,15496,10,361,1,Medium Value
466,29,Female,West,High,16836,24,257,1,High Value
467,33,Male,South,Medium,9353,22,72,0,Medium Value
468,43,Male,South,Medium,12195,3,87,1,Low Value
469,43,Male,West,High,3352,5,262,0,Low Value
470,38,Female,East,Low,16514,6,214,0,Low Value
471,56,Female,North,Medium,1487,21,153,1,Low Value
472,53,Male,West,High,8122,22,210,0,Medium Value
473,50,Female,North,High,9660,8,61,0,Low Value
474,47,Male,East,Medium,17984,7,268,1,Low Value
475,54,Male,North,Medium,7152,21,262,1,Medium Value
476,40,Male,West,Medium,7921,10,218,1,Medium Value
477,27,Male,North,Low,1269,6,283,1,Low Value
478,22,Female,South,Low,18227,14,136,0,Medium Value
479,53,Female,East,High,14614,4,362,1,Low Value
480,51,Female,East,Medium,4858,13,93,0,Low Value
481,48,Male,East,Low,12043,20,109,1,Medium Value
482,27,Female,West,Medium,19233,17,241,1,High Value
483,36,Male,East,High,6199,23,355,0,Low Value
484,49,Female,South,Low,18125,7,142,1,Low Value
485,18,Male,West,Low,1625,4,291,1,Low Value
486,22,Male,South,Low,11293,14,237,1,Medium Value
487,62,Male,North,High,7264,3,340,1,Low Value
488,21,Female,North,Medium,12823,24,312,1,Medium Value
489,33,Female,North,Low,13531,5,177,1,Low Value
490,41,Female,North,High,14552,16,141,1,High Value
491,33,Female,South,Medium,13140,23,189,0,Medium Value
492,19,Male,West,High,8343,20,49,1,Medium Value
493,45,Female,West,Medium,14710,4,302,1,Low Value
494,49,Female,East,High,16956,24,190,1,High Value
495,44,Male,South,Medium,10606,24,136,0,Medium Value
496,37,Male,North,Low,5689,2,43,1,Low Value
497,41,Male,South,Medium,2972,18,353,1,Low Value
498,29,Female,East,High,17591,19,90,1,High Value
499,52,Male,East,High,18688,19,295,1,High Value
500,50,Male,South,Medium,7204,17,341,0,Medium Value
