date,region,category,quarter,day_of_week,is_weekend,marketing_spend,discount_pct,units_sold,unit_price,revenue,cost,profit,customer_satisfaction
2023-01-04,East,Electronics,1,2,0,2169.8,10.39,196,427.45,83780.4,49790.54,33989.86,4.1
2023-01-04,East,Furniture,1,2,0,1881.53,14.8,182,263.29,47919.08,28473.28,19445.8,4.59
2023-01-04,East,Office Supplies,1,2,0,1924.36,19.38,171,51.98,8888.54,5172.51,3716.03,4.12
2023-01-04,West,Electronics,1,2,0,2480.72,18.36,235,469.71,110381.25,80320.23,30061.03,4.07
2023-01-04,West,Furniture,1,2,0,1889.64,12.06,176,280.86,49430.98,33958.97,15472.01,4.11
2023-01-04,West,Office Supplies,1,2,0,2543.99,18.0,192,48.38,9288.42,5684.33,3604.09,4.48
2023-01-05,North,Electronics,1,3,0,1650.44,9.37,182,456.02,82994.87,52504.19,30490.68,4.34
2023-01-05,North,Furniture,1,3,0,2188.21,15.71,199,275.37,54798.53,39334.06,15464.47,4.19
2023-01-05,North,Office Supplies,1,3,0,1114.75,18.77,155,55.2,8556.77,5044.94,3511.84,4.35
2023-01-05,South,Electronics,1,3,0,2620.94,19.58,210,437.48,91870.6,63775.57,28095.03,4.43
2023-01-05,South,Furniture,1,3,0,1186.35,18.39,169,334.29,56495.06,37762.87,18732.19,4.33
2023-01-05,South,Office Supplies,1,3,0,2261.3,17.13,152,71.91,10930.68,6735.53,4195.15,4.49
2023-01-05,East,Electronics,1,3,0,2923.37,3.21,165,368.43,60791.07,40570.63,20220.43,4.01
2023-01-05,East,Furniture,1,3,0,2333.78,16.91,184,307.87,56648.85,42294.35,14354.51,3.85
2023-01-05,East,Office Supplies,1,3,0,973.02,11.55,117,52.48,6140.27,3751.21,2389.06,4.4
2023-01-05,West,Electronics,1,3,0,2383.72,22.28,231,432.13,99822.64,59402.4,40420.24,4.18
2023-01-05,West,Furniture,1,3,0,1757.19,6.82,154,348.77,53709.87,31510.67,22199.2,4.3
2023-01-05,West,Office Supplies,1,3,0,2281.85,16.26,156,55.62,8676.99,5747.37,2929.62,3.96
2023-01-06,North,Electronics,1,4,0,1893.92,18.83,236,440.04,103849.1,69265.81,34583.29,4.05
2023-01-06,North,Furniture,1,4,0,1831.79,19.62,159,248.34,39486.22,25064.02,14422.21,4.28
2023-01-06,North,Office Supplies,1,4,0,1541.37,6.59,150,71.84,10775.93,6409.27,4366.66,4.76
2023-01-06,South,Electronics,1,4,0,2905.81,9.8,203,434.48,88198.88,59713.49,28485.39,3.87
2023-01-06,South,Furniture,1,4,0,1240.57,14.81,149,259.27,38630.67,23544.37,15086.3,3.62
2023-01-06,South,Office Supplies,1,4,0,2073.86,13.95,140,54.21,7589.12,5264.34,2324.78,4.11
2023-01-06,East,Electronics,1,4,0,2539.73,15.76,187,471.73,88214.33,56018.35,32195.99,4.33
2023-01-06,East,Furniture,1,4,0,703.62,9.71,145,307.92,44648.51,29548.11,15100.4,4.26
2023-01-06,East,Office Supplies,1,4,0,1539.27,12.24,129,55.38,7144.65,4453.18,2691.47,4.5
2023-01-06,West,Electronics,1,4,0,2808.66,8.38,233,379.19,88351.33,53965.84,34385.49,4.21
2023-01-06,West,Furniture,1,4,0,1834.64,11.22,186,291.82,54277.79,33341.58,20936.21,4.13
2023-01-06,West,Office Supplies,1,4,0,1672.38,14.72,167,57.84,9659.01,6943.11,2715.9,4.48
2023-01-07,North,Electronics,1,5,1,1684.75,6.96,188,435.94,81956.62,50770.17,31186.45,4.06
2023-01-07,North,Furniture,1,5,1,2129.24,16.46,205,290.04,59458.8,37871.33,21587.47,4.36
2023-01-07,North,Office Supplies,1,5,1,1935.4,9.92,166,61.99,10289.64,6233.3,4056.33,3.88
2023-01-07,South,Electronics,1,5,1,2173.2,19.55,230,436.1,100302.75,60731.91,39570.84,4.13
2023-01-07,South,Furniture,1,5,1,2102.8,7.39,174,294.47,51237.82,31911.21,19326.61,3.86
2023-01-07,South,Office Supplies,1,5,1,1594.83,12.85,159,61.44,9769.64,6681.91,3087.72,4.84
2023-01-07,East,Electronics,1,5,1,2543.76,15.63,237,458.96,108772.42,73744.33,35028.09,3.87
2023-01-07,East,Furniture,1,5,1,2554.73,12.92,193,307.34,59316.15,38426.81,20889.34,4.31
2023-01-07,East,Office Supplies,1,5,1,1736.8,9.87,139,60.59,8421.53,5380.34,3041.19,4.47
2023-01-07,West,Electronics,1,5,1,2172.61,4.49,212,404.98,85856.45,55911.21,29945.24,3.77
2023-01-07,West,Furniture,1,5,1,1707.63,15.48,225,270.59,60882.5,36195.22,24687.28,4.2
2023-01-07,West,Office Supplies,1,5,1,1863.3,8.61,161,59.08,9512.08,5825.36,3686.72,4.17
2023-01-08,North,Electronics,1,6,1,2486.9,9.28,215,454.26,97665.3,65352.38,32312.92,3.62
2023-01-08,North,Furniture,1,6,1,1303.74,6.11,174,271.08,47168.14,29528.51,17639.63,4.24
2023-01-08,North,Office Supplies,1,6,1,1355.77,20.76,192,50.97,9785.78,5708.54,4077.24,4.28
2023-01-08,South,Electronics,1,6,1,2447.86,14.5,202,435.97,88066.49,63889.46,24177.04,3.96
2023-01-08,South,Furniture,1,6,1,1655.61,17.8,173,300.76,52031.23,30293.12,21738.11,3.81
2023-01-08,South,Office Supplies,1,6,1,2505.87,5.79,129,66.05,8520.55,5534.95,2985.6,3.75
2023-01-08,East,Electronics,1,6,1,1667.23,20.48,239,446.13,106625.42,77584.88,29040.55,4.5
2023-01-08,East,Furniture,1,6,1,1787.62,10.32,195,303.53,59188.16,42730.19,16457.97,4.05
2023-01-08,East,Office Supplies,1,6,1,1807.37,13.74,155,52.17,8086.82,5067.11,3019.7,4.69
2023-01-08,West,Electronics,1,6,1,2787.04,9.65,240,514.82,123557.12,90870.09,32687.03,4.27
2023-01-08,West,Furniture,1,6,1,1063.65,5.6,166,298.12,49487.6,29399.38,20088.22,3.75
2023-01-08,West,Office Supplies,1,6,1,2032.41,4.38,140,64.59,9042.84,5976.67,3066.17,3.66
2023-01-09,North,Electronics,1,0,0,2697.33,12.92,198,478.01,94646.45,62881.43,31765.03,3.81
2023-01-09,North,Furniture,1,0,0,2194.85,10.24,171,268.28,45875.91,29999.2,15876.7,4.19
2023-01-09,North,Office Supplies,1,0,0,2083.1,9.19,149,47.44,7068.29,4533.36,2534.93,3.86
2023-01-09,South,Electronics,1,0,0,2409.5,17.32,200,482.67,96533.59,69925.38,26608.2,4.54
2023-01-09,South,Furniture,1,0,0,1771.93,3.7,139,289.51,40241.23,29602.78,10638.45,4.25
2023-01-09,South,Office Supplies,1,0,0,1714.69,17.65,146,48.76,7118.77,4274.8,2843.98,4.4
2023-01-09,East,Electronics,1,0,0,2588.85,9.61,207,414.22,85742.65,57594.5,28148.15,4.03
2023-01-09,East,Furniture,1,0,0,2217.42,16.34,181,300.49,54389.16,38931.39,15457.77,4.28
2023-01-09,East,Office Supplies,1,0,0,1593.08,19.05,184,71.63,13179.38,8588.09,4591.29,4.07
2023-01-09,West,Electronics,1,0,0,2817.46,10.5,200,409.76,81951.07,57000.25,24950.82,3.9
2023-01-09,West,Furniture,1,0,0,2193.73,10.93,174,240.7,41882.62,31349.09,10533.54,4.5
2023-01-09,West,Office Supplies,1,0,0,2448.44,4.15,136,64.44,8764.25,5604.92,3159.33,3.99
2023-01-10,North,Electronics,1,1,0,3068.2,9.15,192,468.86,90020.47,55637.06,34383.41,4.78
2023-01-10,North,Furniture,1,1,0,2175.14,7.8,164,300.43,49271.01,33191.21,16079.8,4.45
2023-01-10,North,Office Supplies,1,1,0,1729.22,8.01,119,74.36,8848.42,5254.0,3594.42,4.35
2023-01-10,South,Electronics,1,1,0,2075.67,0.0,142,498.23,70747.97,47837.97,22910.0,3.82
2023-01-10,South,Furniture,1,1,0,2033.57,10.2,159,308.72,49085.98,34290.0,14795.98,4.45
2023-01-10,South,Office Supplies,1,1,0,2412.68,8.75,136,54.48,7409.78,5328.03,2081.75,4.31
2023-01-10,East,Electronics,1,1,0,2511.5,18.39,216,451.86,97601.21,67128.26,30472.96,4.66
2023-01-10,East,Furniture,1,1,0,1885.45,13.33,163,281.68,45913.58,33904.64,12008.94,3.87
2023-01-10,East,Office Supplies,1,1,0,1621.43,12.97,155,54.4,8431.85,5386.27,3045.58,4.11
2023-01-10,West,Electronics,1,1,0,2551.12,13.84,209,444.76,92954.52,60959.9,31994.62,4.51
2023-01-10,West,Furniture,1,1,0,1220.79,1.01,147,244.26,35905.76,21328.19,14577.57,4.39
2023-01-10,West,Office Supplies,1,1,0,2324.22,10.89,137,50.18,6874.92,4307.94,2566.98,4.62
2023-01-11,North,Electronics,1,2,0,2481.77,13.22,205,464.08,95136.85,69158.87,25977.98,4.36
2023-01-11,North,Furniture,1,2,0,1788.43,13.35,170,305.29,51899.11,35626.53,16272.58,4.39
2023-01-11,North,Office Supplies,1,2,0,1878.61,15.55,154,74.41,11458.76,7036.7,4422.06,4.07
2023-01-11,South,Electronics,1,2,0,2494.28,4.04,173,424.62,73458.53,43510.66,29947.87,4.13
2023-01-11,South,Furniture,1,2,0,1619.08,0.0,104,307.5,31980.31,22788.36,9191.95,4.09
2023-01-11,South,Office Supplies,1,2,0,1571.6,10.68,124,64.2,7960.69,4630.42,3330.27,4.65
2023-01-11,East,Electronics,1,2,0,2583.35,1.79,170,422.72,71862.51,48613.69,23248.82,4.37
2023-01-11,East,Furniture,1,2,0,2049.32,9.53,154,252.05,38815.84,28260.45,10555.4,4.28
2023-01-11,East,Office Supplies,1,2,0,2158.08,15.18,165,61.58,10160.83,6674.59,3486.24,4.35
2023-01-11,West,Electronics,1,2,0,3373.0,10.15,216,408.74,88287.18,58683.9,29603.29,4.48
2023-01-11,West,Furniture,1,2,0,2491.02,14.18,186,301.47,56074.0,33211.16,22862.84,4.51
2023-01-11,West,Office Supplies,1,2,0,1755.71,16.66,171,47.51,8123.45,5713.17,2410.28,4.77
2023-01-12,North,Electronics,1,3,0,2931.47,11.81,206,485.35,99981.36,73496.47,26484.88,4.35
2023-01-12,North,Furniture,1,3,0,1298.48,18.88,192,256.0,49152.7,32622.02,16530.68,4.22
2023-01-12,North,Office Supplies,1,3,0,2017.44,10.15,152,46.08,7004.51,4257.33,2747.17,4.3
2023-01-12,South,Electronics,1,3,0,2465.26,16.04,181,494.31,89469.9,53010.42,36459.48,4.19
2023-01-12,South,Furniture,1,3,0,1830.73,5.59,151,225.52,34053.46,23323.72,10729.75,3.95
2023-01-12,South,Office Supplies,1,3,0,2008.27,16.24,161,62.9,10127.1,7368.54,2758.56,4.59
2023-01-12,East,Electronics,1,3,0,2396.38,11.02,194,448.51,87011.16,51048.44,35962.72,4.18
2023-01-12,East,Furniture,1,3,0,1386.02,11.05,163,280.33,45693.01,33243.77,12449.24,4.32
2023-01-12,East,Office Supplies,1,3,0,2199.2,0.0,139,51.68,7183.62,4413.01,2770.62,4.17
2023-01-12,West,Electronics,1,3,0,2239.71,17.37,220,471.89,103815.5,71117.15,32698.35,4.77
2023-01-12,West,Furniture,1,3,0,1880.44,17.25,201,302.36,60773.47,39317.82,21455.65,4.08
2023-01-12,West,Office Supplies,1,3,0,1918.65,17.03,160,64.52,10322.44,6696.2,3626.23,4.36
2023-01-13,North,Electronics,1,4,0,2975.79,5.86,201,478.05,96087.43,69089.92,26997.51,4.19
2023-01-13,North,Furniture,1,4,0,1388.53,5.61,130,334.34,43464.16,27967.13,15497.02,4.08
2023-01-13,North,Office Supplies,1,4,0,2456.81,17.05,156,57.4,8954.61,5983.86,2970.75,4.16
2023-01-13,South,Electronics,1,4,0,2492.03,6.22,153,507.82,77695.75,55166.33,22529.43,4.34
2023-01-13,South,Furniture,1,4,0,2037.9,16.27,176,283.65,49921.88,29466.16,20455.72,4.22
2023-01-13,South,Office Supplies,1,4,0,2021.23,11.83,124,67.77,8403.13,5644.03,2759.11,4.06
2023-01-13,East,Electronics,1,4,0,2867.33,4.15,169,487.63,82409.61,50335.41,32074.2,3.9
2023-01-13,East,Furniture,1,4,0,2020.41,21.23,191,247.2,47214.63,31800.87,15413.76,4.29
2023-01-13,East,Office Supplies,1,4,0,1850.09,9.85,138,60.32,8324.81,5151.17,3173.64,4.32
2023-01-13,West,Electronics,1,4,0,1981.45,17.75,217,438.99,95260.19,59701.19,35559.01,4.1
2023-01-13,West,Furniture,1,4,0,1682.02,18.24,181,250.76,45388.08,30851.34,14536.74,4.41
2023-01-13,West,Office Supplies,1,4,0,1506.04,10.23,148,47.7,7060.25,4564.13,2496.12,4.27
2023-01-14,North,Electronics,1,5,1,2464.69,24.9,253,515.56,130437.86,91008.34,39429.52,4.37
2023-01-14,North,Furniture,1,5,1,1586.34,3.88,175,255.1,44643.3,29832.44,14810.85,4.04
2023-01-14,North,Office Supplies,1,5,1,1893.51,4.22,148,62.99,9322.88,5935.04,3387.84,4.27
2023-01-14,South,Electronics,1,5,1,3278.62,10.7,233,453.86,105748.76,70967.01,34781.75,4.31
2023-01-14,South,Furniture,1,5,1,1755.51,7.48,152,318.2,48365.77,35675.57,12690.2,3.99
2023-01-14,South,Office Supplies,1,5,1,1237.14,12.36,154,54.01,8317.01,5891.74,2425.27,4.23
2023-01-14,East,Electronics,1,5,1,2553.42,11.24,229,488.27,111813.39,66517.71,45295.69,4.18
2023-01-14,East,Furniture,1,5,1,2083.24,7.76,156,240.4,37502.27,24919.65,12582.62,4.14
2023-01-14,East,Office Supplies,1,5,1,1832.73,11.51,167,62.57,10449.79,7464.34,2985.45,4.04
2023-01-14,West,Electronics,1,5,1,2405.46,6.06,217,408.54,88652.52,63814.01,24838.51,4.15
2023-01-14,West,Furniture,1,5,1,1789.99,16.09,222,280.36,62240.44,40317.66,21922.78,4.12
2023-01-14,West,Office Supplies,1,5,1,1403.07,14.54,171,36.89,6308.84,3772.46,2536.39,4.27
2023-01-15,North,Electronics,1,6,1,2016.12,15.0,252,498.75,125685.12,74140.12,51545.0,4.06
2023-01-15,North,Furniture,1,6,1,1635.63,10.16,176,258.02,45411.96,34033.47,11378.49,3.97
2023-01-15,North,Office Supplies,1,6,1,1974.78,17.95,190,67.47,12820.17,7720.57,5099.6,4.2
2023-01-15,South,Electronics,1,6,1,2895.75,9.46,192,498.31,95675.98,55671.49,40004.49,4.34
2023-01-15,South,Furniture,1,6,1,1569.4,0.0,134,228.24,30583.9,17801.68,12782.22,3.8
2023-01-15,South,Office Supplies,1,6,1,1787.62,2.2,149,69.35,10332.52,6829.0,3503.52,3.86
2023-01-15,East,Electronics,1,6,1,1951.24,3.93,215,441.63,94949.82,66178.4,28771.42,3.69
2023-01-15,East,Furniture,1,6,1,1637.31,11.56,192,322.51,61921.3,42377.0,19544.3,4.37
2023-01-15,East,Office Supplies,1,6,1,1812.8,8.23,153,61.09,9347.12,5487.55,3859.57,4.19
2023-01-15,West,Electronics,1,6,1,2318.07,7.99,241,410.76,98993.96,60533.15,38460.81,4.42
2023-01-15,West,Furniture,1,6,1,2274.28,15.59,221,230.24,50882.29,31290.92,19591.37,4.28
2023-01-15,West,Office Supplies,1,6,1,1429.75,15.21,187,71.64,13397.61,9474.42,3923.19,4.65
2023-01-16,North,Electronics,1,0,0,2715.32,17.36,216,416.43,89949.23,58889.66,31059.57,4.42
2023-01-16,North,Furniture,1,0,0,1859.08,9.58,160,274.24,43878.45,31535.92,12342.53,4.42
2023-01-16,North,Office Supplies,1,0,0,1733.15,13.41,146,65.88,9618.34,6848.22,2770.12,3.97
2023-01-16,South,Electronics,1,0,0,2701.16,13.63,193,446.23,86121.45,53076.39,33045.06,4.38
2023-01-16,South,Furniture,1,0,0,2295.31,12.11,163,288.43,47013.5,29645.92,17367.57,4.67
2023-01-16,South,Office Supplies,1,0,0,2049.42,13.64,151,58.0,8757.43,5446.56,3310.88,4.23
2023-01-16,East,Electronics,1,0,0,2416.39,7.75,180,473.54,85237.76,58363.79,26873.97,4.05
2023-01-16,East,Furniture,1,0,0,1355.91,13.39,181,241.28,43671.54,31837.89,11833.65,4.03
2023-01-16,East,Office Supplies,1,0,0,2490.79,10.0,145,45.91,6657.46,4648.61,2008.86,4.49
2023-01-16,West,Electronics,1,0,0,2270.8,12.91,201,538.57,108252.58,73119.46,35133.12,4.06
2023-01-16,West,Furniture,1,0,0,2624.6,18.04,208,307.24,63906.47,42478.85,21427.62,4.56
2023-01-16,West,Office Supplies,1,0,0,1540.29,16.74,167,56.55,9443.12,6173.75,3269.37,4.05
2023-01-17,North,Electronics,1,1,0,2466.93,11.39,221,475.23,105026.38,72273.92,32752.46,4.13
2023-01-17,North,Furniture,1,1,0,1904.67,17.74,181,212.19,38406.81,24641.04,13765.77,4.36
2023-01-17,North,Office Supplies,1,1,0,1856.35,3.16,128,47.24,6047.02,4404.44,1642.59,4.04
2023-01-17,South,Electronics,1,1,0,2660.71,11.04,202,405.54,81919.78,54427.37,27492.41,4.12
2023-01-17,South,Furniture,1,1,0,2464.5,9.71,147,245.06,36023.31,25494.91,10528.4,4.29
2023-01-17,South,Office Supplies,1,1,0,1848.6,7.12,111,53.28,5913.83,4193.48,1720.35,3.94
2023-01-17,East,Electronics,1,1,0,3097.08,10.64,199,420.11,83602.2,53425.85,30176.35,4.27
2023-01-17,East,Furniture,1,1,0,1834.93,15.51,174,258.86,45041.57,33637.96,11403.6,4.03
2023-01-17,East,Office Supplies,1,1,0,2117.71,5.73,132,59.71,7882.36,5387.2,2495.16,3.96
2023-01-17,West,Electronics,1,1,0,2373.89,9.87,198,475.32,94113.06,56421.79,37691.27,4.86
2023-01-17,West,Furniture,1,1,0,1971.53,15.47,186,251.03,46692.39,30719.44,15972.95,3.94
2023-01-17,West,Office Supplies,1,1,0,1776.81,9.76,168,54.31,9124.74,6087.35,3037.39,4.22
2023-01-18,North,Electronics,1,2,0,2426.84,18.87,214,418.03,89458.92,63394.86,26064.06,3.93
2023-01-18,North,Furniture,1,2,0,1838.0,10.2,172,278.88,47967.85,35235.62,12732.23,4.02
2023-01-18,North,Office Supplies,1,2,0,1727.81,27.97,189,69.19,13076.45,9308.52,3767.93,3.92
2023-01-18,South,Electronics,1,2,0,2580.26,13.81,208,497.53,103485.37,69398.83,34086.54,4.19
2023-01-18,South,Furniture,1,2,0,1993.89,7.77,138,268.28,37023.04,22632.86,14390.18,4.25
2023-01-18,South,Office Supplies,1,2,0,2104.36,11.0,120,61.53,7383.86,4916.8,2467.06,4.27
2023-01-18,East,Electronics,1,2,0,2468.14,14.26,191,467.13,89222.27,54209.64,35012.63,4.25
2023-01-18,East,Furniture,1,2,0,1693.23,20.96,188,300.88,56564.59,38007.72,18556.87,4.39
2023-01-18,East,Office Supplies,1,2,0,1397.38,17.7,168,55.14,9263.09,6150.84,3112.25,4.15
2023-01-18,West,Electronics,1,2,0,2897.08,14.73,211,427.39,90179.0,63783.65,26395.35,3.74
2023-01-18,West,Furniture,1,2,0,2286.86,19.61,209,294.13,61473.29,42281.58,19191.7,4.39
2023-01-18,West,Office Supplies,1,2,0,1483.97,17.97,148,55.93,8277.11,5705.33,2571.78,4.47
2023-01-19,North,Electronics,1,3,0,2550.55,21.69,218,422.89,92190.06,67124.02,25066.04,4.5
2023-01-19,North,Furniture,1,3,0,2066.98,5.94,167,302.76,50561.48,33168.3,17393.18,4.2
2023-01-19,North,Office Supplies,1,3,0,2242.83,11.4,122,59.28,7231.64,5103.97,2127.67,4.16
2023-01-19,South,Electronics,1,3,0,2668.67,9.82,191,457.84,87447.25,54904.51,32542.74,4.07
2023-01-19,South,Furniture,1,3,0,1946.91,21.19,176,279.32,49160.38,31030.77,18129.6,3.91
2023-01-19,South,Office Supplies,1,3,0,2111.69,17.25,139,67.22,9343.55,5713.64,3629.91,4.33
2023-01-19,East,Electronics,1,3,0,2458.22,11.16,196,496.48,97309.13,57991.93,39317.19,4.28
2023-01-19,East,Furniture,1,3,0,2056.77,15.27,206,255.92,52720.0,35972.28,16747.72,4.16
2023-01-19,East,Office Supplies,1,3,0,1745.02,16.76,172,65.94,11341.17,7035.65,4305.52,4.03
2023-01-19,West,Electronics,1,3,0,2512.06,10.72,179,466.97,83587.52,55674.74,27912.78,4.36
2023-01-19,West,Furniture,1,3,0,1550.94,12.97,166,258.59,42925.62,25918.67,17006.96,4.17
2023-01-19,West,Office Supplies,1,3,0,972.86,14.26,133,58.36,7761.95,4512.04,3249.91,4.24
2023-01-20,North,Electronics,1,4,0,2376.32,8.24,199,503.62,100219.99,74002.25,26217.74,3.99
2023-01-20,North,Furniture,1,4,0,1722.27,7.57,161,204.32,32895.89,23006.86,9889.03,4.44
2023-01-20,North,Office Supplies,1,4,0,1516.64,4.43,103,64.07,6599.19,4509.52,2089.67,4.37
2023-01-20,South,Electronics,1,4,0,2283.05,12.72,179,421.67,75478.65,48513.08,26965.58,3.67
2023-01-20,South,Furniture,1,4,0,1715.55,7.06,140,272.13,38098.21,28196.23,9901.98,4.48
2023-01-20,South,Office Supplies,1,4,0,2262.84,17.88,131,63.05,8259.85,4960.0,3299.85,4.44
2023-01-20,East,Electronics,1,4,0,2042.51,12.54,195,441.68,86126.69,58404.57,27722.12,3.74
2023-01-20,East,Furniture,1,4,0,2093.06,16.28,192,309.6,59442.44,37259.4,22183.04,4.08
2023-01-20,East,Office Supplies,1,4,0,2200.23,8.65,153,62.08,9498.63,6989.36,2509.27,3.73
2023-01-20,West,Electronics,1,4,0,2222.73,2.82,200,513.43,102685.17,62470.19,40214.98,4.5
2023-01-20,West,Furniture,1,4,0,1357.72,10.93,164,325.86,53441.17,34090.27,19350.9,4.17
2023-01-20,West,Office Supplies,1,4,0,1514.5,17.55,147,75.13,11044.27,6669.57,4374.7,4.16
2023-01-21,North,Electronics,1,5,1,2310.46,11.93,236,450.26,106260.63,62190.36,44070.27,3.89
2023-01-21,North,Furniture,1,5,1,1655.28,2.98,162,288.01,46658.33,33619.21,13039.13,4.31
2023-01-21,North,Office Supplies,1,5,1,1757.08,14.24,149,61.14,9110.39,6141.59,2968.79,4.59
2023-01-21,South,Electronics,1,5,1,2600.18,10.9,222,407.46,90456.99,67326.32,23130.67,3.94
2023-01-21,South,Furniture,1,5,1,1008.28,15.74,163,352.59,57472.64,38110.83,19361.81,4.28
2023-01-21,South,Office Supplies,1,5,1,2159.79,21.8,190,59.76,11354.18,7633.58,3720.6,4.13
2023-01-21,East,Electronics,1,5,1,2601.5,14.34,242,453.92,109848.48,66043.05,43805.43,4.03
2023-01-21,East,Furniture,1,5,1,2149.27,11.38,171,293.67,50217.28,32330.19,17887.09,4.43
2023-01-21,East,Office Supplies,1,5,1,1437.71,8.73,139,85.1,11829.18,8021.81,3807.37,4.44
2023-01-21,West,Electronics,1,5,1,2365.24,14.07,260,496.63,129124.38,86096.72,43027.66,4.44
2023-01-21,West,Furniture,1,5,1,2062.36,12.97,200,319.34,63868.79,44563.2,19305.59,4.08
2023-01-21,West,Office Supplies,1,5,1,1501.17,17.73,173,55.72,9638.71,5613.91,4024.8,4.44
2023-01-22,North,Electronics,1,6,1,2790.04,14.58,232,467.28,108408.24,75013.29,33394.95,4.34
